developer_id,developer
0,Westwood Studios
1,LucasArts
2,Tamsoft
3,MPS Labs
4,id Software
5,Blizzard Entertainment
6,Nintendo
7,Psygnosis
8,Core Design Ltd.
9,Capcom
10,Namco
11,Legend Entertainment
12,3D Realms
13,Parallax Software
14,Rocket Science Games
15,SimTex
16,SSI
17,Paradigm Entertainment
18,Adeline Software
19,Revolution Software
20,Taito Corporation
21,Impressions Games
22,Pulse Entertainment
23,Stick Man Games
24,Activision
25,DigiFX Interactive
26,Rare Ltd.
27,Konami
28,Firaxis Games
29,SquareSoft
30,NanaOn-Sha
31,"Bungie Software, Bungie"
32,Black Isle Studios
33,Cavedog Entertainment
34,Matrix Software
35,Tecmo
36,Oddworld Inhabitants
37,Iguana Entertainment
38,Light Weight
39,Ensemble Studios
40,Probe Entertainment Limited
41,Monolith Productions
42,Smoking Car Productions
43,Eurocom Entertainment Software
44,I Motion
45,EA Canada
46,Origin
47,Running With Scissors
48,Valve Software
49,Polyphony Digital
50,KCEJ
51,Looking Glass Studios
52,BioWare
53,Naughty Dog
54,Konami Computer Entertainment Osaka
55,PopTop Software
56,Acquire
57,"Atari, MicroProse"
58,Red Storm Entertainment
59,Factor 5
60,Team Ninja
61,DMA Design
62,KCEK
63,Alfa System
64,Midway Studios - San Diego
65,Player 1
66,TopWare Interactive
67,TechnoSoft
68,Infogrames
69,Tribal Dreams
70,HyperBole Studios
71,Relic
72,"Looking Glass Studios, Irrational Games"
73,Neversoft Entertainment
74,Epic Games
75,Dreamworks Interactive
76,Volition Inc.
77,Crystal Dynamics
78,Camelot Software Planning
79,Ubisoft Montpellier
80,SCEI
81,Eidetic
82,Angel Studios
83,Game Arts
84,Reflections Interactive
85,KCET
86,Sony Online Entertainment
87,Midway
88,Turbine Inc.
89,Flying Legends
90,Sierra Entertainment
91,Tri-Ace
92,HAL Labs
93,Hudson
94,Victor Interactive Software
95,Hal
96,Boss Game Studios
97,Traveller's Tales
98,Illusion Softworks
99,Valkyrie Studios
100,Treasure
101,Metro
102,Sega
103,Human Entertainment
104,Acclaim
105,Treyarch
106,Visual Concepts
107,Smilebit
108,EA Sports Big
109,Raster
110,Overworks
111,Melbourne House
112,Maxis
113,EA Sports
114,Insomniac Games
115,Funcom
116,Ion Storm
117,Yuke's
118,Codemasters
119,Shiny Entertainment
120,Sonic Team
121,Barking Dog
122,Outrage Games
123,Aki Corp.
124,EA Tiburon
125,Page 44 Studios
126,Left Field Productions
127,Milestone S.r.l
128,Anchor
129,The Counter-Strike Team
130,Blizzard North
131,FASA Studio
132,"Hasbro Interactive, Atari"
133,Razorworks
134,Massive Entertainment
135,eSim Games
136,Eden Studios
137,Raven Software
138,Microsoft Game Studios
139,Attention To Detail
140,Planet Moon Studios
141,Rogue Entertainment
142,Creative Assembly
143,TOSE
144,Appaloosa Interactive
145,Atlus Co.
146,Zipper Interactive
147,Digital Dialect
148,Bullfrog Productions
149,"Z-Axis, Ltd."
150,Jellyvision
151,Quest
152,Strategic Studies Group
153,Celeris
154,Wayward Simulations
155,Vivarium
156,Free Radical Design
157,Monster Games Inc.
158,Double Helix Games
159,Tremor Entertainment
160,Mass Media
161,Bizarre Creations
162,Polygon Magic
163,Chris Sawyer
164,Clockwork Games
165,Mattel
166,Genki
167,Rockstar San Diego
168,Creative Asylum
169,Malfador Machinations
170,Atomic Games
171,CAProduction
172,Digital Anvil
173,T&E Soft
174,Avalanche Software
175,"Angel Studios, Rockstar San Diego"
176,Ritual Entertainment
177,From Software
178,Ratbag
179,SolWorks
180,High Voltage Software
181,3DO
182,Acclaim Studios Austin
183,Taldren
184,Pitbull Syndicate
185,Blitz Games
186,Pandemic Studios
187,BreakAway Games
188,Cryo Interactive
189,Warthog
190,Ubisoft Montreal
191,Human Head Studios
192,Synetic
193,Pipe Dream Interactive
194,Koei
195,Omega Force
196,Paradox Development
197,Paradox Interactive
198,Hasbro Interactive
199,14 Degrees East
200,Terminal Reality
201,CRI
202,Nihilistic
203,NovaLogic
204,Argonaut Games
205,Psikyo
206,Minds-Eye Productions
207,989 Sports
208,Io Interactive
209,Disney Interactive
210,Deibus Studios
211,Black Box
212,Edge of Reality
213,Artificial Mind and Movement
214,SCEJ
215,Omni Creative Group
216,"Hasbro Interactive, Blitz Games"
217,Dynamix
218,Video System
219,Black Ops Entertainment
220,Third Law Interactive
221,Techland
222,Akella
223,Circus Freak
224,Cauldron Ltd.
225,Radical Entertainment
226,Bimboosoft
227,Heuristic Park
228,Saffire
229,Innerloop
230,Image Space Incorporated
231,Laminar Research
232,Criterion Games
233,Studio 33
234,WARP
235,Cunning Developments
236,Ubisoft Romania
237,Ellipse Studios
238,Zono Inc.
239,Lost Toys
240,Rayland Interactive
241,Blue Tongue Entertainment
242,Point of View
243,Egosoft
244,Canal+ Multimedia
245,Blue Planet Software
246,"Luxoflux, Inc."
247,Visual Sciences
248,UDS
249,Kuusou Kagaku
250,Cyan Worlds
251,Boku Strategy Games
252,Meyer / Glass Interactive
253,Ubisoft Shanghai
254,Headgate
255,Ornith
256,Climax Entertainment
257,Shaba Games
258,Rewolf Software
259,Sir-Tech Software Inc.
260,Arika
261,Electronic Arts
262,Rage Software
263,ACOT
264,Daydream Software
265,Genetic Anomalies
266,Kemco
267,S-Neo
268,Infogrames Sheffield
269,Paradox Development Studio
270,Natsume
271,KCEO
272,Krome Studios
273,Silicon Dreams
274,Bitmap Brothers
275,Mission Studios
276,Empire Interactive
277,Atari Games (Midway)
278,King of the Jungle
279,Digital Eclipse
280,Artech Digital Entertainment
281,Vicarious Visions
282,Ambrella
283,O3 Games
284,Idol Minds
285,Rebellion
286,Shade
287,Opus
288,Takara
289,Planet4
290,Sinister Games
291,Arxel Tribe
292,Mucky Foot Productions
293,Eutechnyx
294,Heavy Iron Studios
295,SCEA
296,Vingt-et-un Systems
297,"MotiveTime, Ltd."
298,Hammerhead
299,Runecraft
300,Kodiak Interactive
301,Torus Games
302,"1C, 1C Company"
303,JoWooD Entertainment AG
304,Wow Entertainment
305,Carapace
306,Digital Fusion Inc.
307,Random Games Inc.
308,n-Space
309,Gratuitous Games
310,Climax Group
311,K2 LLC
312,Europress
313,Timeline Computer Entertainment
314,Darkblack
315,Boris Games
316,Cyberscape Graphics
317,Acclaim Studios Salt Lake City
318,SingleTrac
319,Osiris Studios
320,Bungie Software
321,Intelligent Systems
322,Incognito Inc.
323,SCE Japan Studio
324,Hitmaker
325,Lionhead Studios
326,Secret Level
327,Ubisoft
328,Remedy Entertainment
329,neo Software
330,Papyrus
331,NuFX
332,Sega AM2
333,Gray Matter
334,Mythic Entertainment
