publisher_id,publisher
0,Virgin Interactive
1,LucasArts
2,SCEA
3,MicroProse
4,id Software
5,Blizzard Entertainment
6,Nintendo
7,SCEE
8,Eidos Interactive
9,Capcom
10,Westwood Studios
11,Namco
12,Accolade
13,GT Interactive
14,Interplay
15,SegaSoft
16,SSI
17,Activision
18,Working Designs
19,Sierra Entertainment
20,Pulse Entertainment
21,3DO
22,Merit Studios
23,Konami
24,Electronic Arts
25,Bungie Software
26,Psygnosis
27,Humongous Entertainment
28,Tecmo
29,Acclaim
30,Microsoft Game Studios
31,Broderbund
32,Ripcord Games
33,Gathering
34,Monolith Productions
35,Atari
36,Red Storm Entertainment
37,Square EA
38,Midway
39,Take-Two Interactive
40,Crave
41,WizardWorks
42,Ocean
43,Fox Interactive
44,Looking Glass Studios
45,Ubisoft
46,989 Studios
47,Rare Ltd.
48,EA Sports
49,Sony Online Entertainment
50,Enix Corporation
51,Natsume
52,Rockstar Games
53,Sega
54,Agetec Inc.
55,EA Sports Big
56,Infogrames
57,Maxis
58,Funcom
59,THQ
60,Codemasters
61,Hasbro Interactive
62,Empire Interactive
63,Shrapnel Games
64,Atlus Co.
65,EA Games
66,Simon & Schuster
67,Titus Software
68,Mattel
69,Vatical Entertainment
70,TalonSoft
71,SouthPeak Games
72,Koei
73,EON Digital Entertainment
74,NovaLogic
75,On Deck Interactive
76,DreamCatcher Interactive
77,Bethesda Softworks
78,Blue Byte
79,Xicat Interactive
80,Strategy First
81,Kemco
82,RealNetworks
83,Bandai
84,JoWooD Entertainment AG
85,Cryo Interactive
86,Hot-B
87,InfoBank
88,Mythic Entertainment
89,VU Games
90,Conspiracy Entertainment
91,Sir-Tech Software Inc.
92,Bam Entertainment
93,Nexon
94,Sammy Studios
95,Liquid Edge Games
96,Fishtank Interactive
97,Majesco Games
98,G.O.D.
99,Sports Mogul
100,Game Studios
101,TDK Mediactive
102,Fun Com
103,Lucas Learning
104,Radical Entertainment
105,AIA
106,cdv Software
107,"3000AD, Inc."
108,Destination Software
109,Disney Interactive
110,Lego Media
111,Matrix Games
112,Microids
113,Sabotage Studio
114,Hot B
115,NCSOFT
116,Maximum Charisma
117,Activision Value
118,SquareSoft
119,Metro3D
120,Monte Cristo Multimedia
121,Data Becker
122,Disney Interactive Studios
123,NewKidCo
124,Universal Interactive
125,Battlefront.com
126,Out Of The Park Developments
127,eGames
128,Jaleco Entertainment
129,The Adventure Company
130,U.S. Army
131,Gravity Corporation
132,Arush Entertainment
133,Cheapass Games
134,PureSim
135,Gotham Games
136,Wizards of the Coast
137,Phantagram
138,Monkeystone
139,Legacy Interactive
140,Global Star Software
141,Got Game Entertainment
142,Hip Games
143,"Telegames, Inc."
144,"Encore Software, Inc."
145,HD Interactive
146,Black Label Games
147,EmuraSoft
148,1C
149,Aspyr
150,Square Enix
151,Nayantara Studios
152,Her Interactive
153,Buena Vista Interactive
154,Blizzard Classic Arcade
155,Solecismic Software
156,eGenesis
157,Tri Synergy
158,NEC Interchannel
159,Oteeva
160,Enlight Software
161,iGames
162,XS Games
163,Playmore
164,Selective Intuition
165,Reflexive Entertainment
166,989 Sports
167,Cenega Publishing
168,Jellyvision
169,Whiptail Interactive
170,Viva Media
171,Warner Bros.
172,ValuSoft
173,Anino Entertainment
174,Diversions Entertainment
175,Running With Scissors
176,Hudson
177,Summitsoft Entertainment
178,Freeform Interactive LLC
179,Big City Games
180,GameMill Publishing
181,GMX Media
182,Valve Software
183,Graphsim Entertainment
184,NIS America
185,GarageGames
186,Respondesign
187,Mastiff
188,SNK
189,O3 Entertainment
190,Kojima Productions
191,Ignition Entertainment
192,InXile Entertainment
193,.400 Software Studios
194,Ascaron Entertainment GmbH
195,Myelin Media
196,Wargaming.net
197,Unimatrix Productions
198,Paradox Interactive
199,Merscom LLC
200,Jack of All Games
201,Bold Games
202,Mud Duck Productions
203,SNK Playmore
204,Buka Entertainment
205,Groove Games
206,Playlogic
207,Kuma Reality Games
208,Mad Catz
209,Magnum Games
210,Digital Leisure Inc.
211,"Speedco Shooting Sports, Inc."
212,2K Games
213,RedOctane
214,2K Sports
215,Bizarre Creations
216,10tacle Studios
